"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout de Produtos","2","0","","0"
"0","","0","Autenticação no Swag Labs","4","0","","0"
"0","","0","Favoritos no Swag Labs","1","0","","0"
